floor,number,type
1,1,standard
1,2,standard
1,3,deluxe
1,4,superior
1,5,standard
1,6,deluxe
1,7,standard
1,8,superior
1,9,superior
1,10,deluxe
1,11,deluxe
1,12,standard
1,13,standard
1,14,standard
1,15,suite
1,16,deluxe
1,17,superior
1,18,deluxe
1,19,superior
1,20,standard
1,21,standard
1,22,deluxe
1,23,superior
1,24,superior
1,25,superior
1,26,standard
1,27,superior
1,28,standard
1,29,standard
1,30,suite
1,31,deluxe
1,32,suite
1,33,superior
1,34,standard
1,35,superior
1,36,superior
1,37,standard
1,38,standard
1,39,standard
1,40,deluxe
2,1,standard
2,2,standard
2,3,deluxe
2,4,superior
2,5,standard
2,6,deluxe
2,7,standard
2,8,superior
2,9,superior
2,10,deluxe
2,11,deluxe
2,12,standard
2,13,standard
2,14,standard
2,15,suite
2,16,deluxe
2,17,superior
2,18,deluxe
2,19,superior
2,20,standard
2,21,standard
2,22,deluxe
2,23,superior
2,24,superior
2,25,superior
2,26,standard
2,27,superior
2,28,standard
2,29,standard
2,30,suite
2,31,deluxe
2,32,suite
2,33,superior
2,34,standard
2,35,superior
2,36,superior
2,37,standard
2,38,standard
2,39,standard
2,40,deluxe
3,1,standard
3,2,standard
3,3,deluxe
3,4,superior
3,5,standard
3,6,deluxe
3,7,standard
3,8,superior
3,9,superior
3,10,deluxe
3,11,deluxe
3,12,standard
3,13,standard
3,14,standard
3,15,suite
3,16,deluxe
3,17,superior
3,18,deluxe
3,19,superior
3,20,standard
3,21,standard
3,22,deluxe
3,23,superior
3,24,superior
3,25,superior
3,26,standard
3,27,superior
3,28,standard
3,29,standard
3,30,suite
3,31,deluxe
3,32,suite
3,33,superior
3,34,standard
3,35,superior
3,36,superior
3,37,standard
3,38,standard
3,39,standard
3,40,deluxe
4,1,standard
4,2,standard
4,3,deluxe
4,4,superior
4,5,standard
4,6,deluxe
4,7,standard
4,8,superior
4,9,superior
4,10,deluxe
4,11,deluxe
4,12,standard
4,13,standard
4,14,standard
4,15,suite
4,16,deluxe
4,17,superior
4,18,deluxe
4,19,superior
4,20,standard
4,21,standard
4,22,deluxe
4,23,superior
4,24,superior
4,25,superior
4,26,standard
4,27,superior
4,28,standard
4,29,standard
4,30,suite
4,31,deluxe
4,32,suite
4,33,superior
4,34,standard
4,35,superior
4,36,superior
4,37,standard
4,38,standard
4,39,standard
4,40,deluxe
5,1,standard
5,2,standard
5,3,deluxe
5,4,superior
5,5,standard
5,6,deluxe
5,7,standard
5,8,superior
5,9,superior
5,10,deluxe
5,11,deluxe
5,12,standard
5,13,standard
5,14,standard
5,15,suite
5,16,deluxe
5,17,superior
5,18,deluxe
5,19,superior
5,20,standard
5,21,standard
5,22,deluxe
5,23,superior
5,24,superior
5,25,superior
5,26,standard
5,27,superior
5,28,standard
5,29,standard
5,30,suite
5,31,deluxe
5,32,suite
5,33,superior
5,34,standard
5,35,superior
5,36,superior
5,37,standard
5,38,standard
5,39,standard
5,40,deluxe
6,1,standard
6,2,standard
6,3,deluxe
6,4,superior
6,5,standard
6,6,deluxe
6,7,standard
6,8,superior
6,9,superior
6,10,deluxe
6,11,deluxe
6,12,standard
6,13,standard
6,14,standard
6,15,suite
6,16,deluxe
6,17,superior
6,18,deluxe
6,19,superior
6,20,standard
6,21,standard
6,22,deluxe
6,23,superior
6,24,superior
6,25,superior
6,26,standard
6,27,superior
6,28,standard
6,29,standard
6,30,suite
6,31,deluxe
6,32,suite
6,33,superior
6,34,standard
6,35,superior
6,36,superior
6,37,standard
6,38,standard
6,39,standard
6,40,deluxe
7,1,standard
7,2,standard
7,3,deluxe
7,4,superior
7,5,standard
7,6,deluxe
7,7,standard
7,8,superior
7,9,superior
7,10,deluxe
7,11,deluxe
7,12,standard
7,13,standard
7,14,standard
7,15,suite
7,16,deluxe
7,17,superior
7,18,deluxe
7,19,superior
7,20,standard
7,21,standard
7,22,deluxe
7,23,superior
7,24,superior
7,25,superior
7,26,standard
7,27,superior
7,28,standard
7,29,standard
7,30,suite
7,31,deluxe
7,32,suite
7,33,superior
7,34,standard
7,35,superior
7,36,superior
7,37,standard
7,38,standard
7,39,standard
7,40,deluxe
8,1,standard
8,2,standard
8,3,deluxe
8,4,superior
8,5,standard
8,6,deluxe
8,7,standard
8,8,superior
8,9,superior
8,10,deluxe
8,11,deluxe
8,12,standard
8,13,standard
8,14,standard
8,15,suite
8,16,deluxe
8,17,superior
8,18,deluxe
8,19,superior
8,20,standard
8,21,standard
8,22,deluxe
8,23,superior
8,24,superior
8,25,superior
8,26,standard
8,27,superior
8,28,standard
8,29,standard
8,30,suite
8,31,deluxe
8,32,suite
8,33,superior
8,34,standard
8,35,superior
8,36,superior
8,37,standard
8,38,standard
8,39,standard
8,40,deluxe
9,1,standard
9,2,standard
9,3,deluxe
9,4,superior
9,5,standard
9,6,deluxe
9,7,standard
9,8,superior
9,9,superior
9,10,deluxe
9,11,deluxe
9,12,standard
9,13,standard
9,14,standard
9,15,suite
9,16,deluxe
9,17,superior
9,18,deluxe
9,19,superior
9,20,standard
9,21,standard
9,22,deluxe
9,23,superior
9,24,superior
9,25,superior
9,26,standard
9,27,superior
9,28,standard
9,29,standard
9,30,suite
9,31,deluxe
9,32,suite
9,33,superior
9,34,standard
9,35,superior
9,36,superior
9,37,standard
9,38,standard
9,39,standard
9,40,deluxe
10,1,standard
10,2,standard
10,3,deluxe
10,4,superior
10,5,standard
10,6,deluxe
10,7,standard
10,8,superior
10,9,superior
10,10,deluxe
10,11,deluxe
10,12,standard
10,13,standard
10,14,standard
10,15,suite
10,16,deluxe
10,17,superior
10,18,deluxe
10,19,superior
10,20,standard
10,21,standard
10,22,deluxe
10,23,superior
10,24,superior
10,25,superior
10,26,standard
10,27,superior
10,28,standard
10,29,standard
10,30,suite
10,31,deluxe
10,32,suite
10,33,superior
10,34,standard
10,35,superior
10,36,superior
10,37,standard
10,38,standard
10,39,standard
10,40,deluxe
11,1,standard
11,2,standard
11,3,deluxe
11,4,superior
11,5,standard
11,6,deluxe
11,7,standard
11,8,superior
11,9,superior
11,10,deluxe
11,11,deluxe
